ArrayID	ArrayHeader	ClinicalhHeader
GSM340537	GSM340537	GSM340537
GSM340538	GSM340538	GSM340538
GSM340539	GSM340539	GSM340539
GSM340540	GSM340540	GSM340540
GSM340541	GSM340541	GSM340541
GSM340542	GSM340542	GSM340542
GSM340543	GSM340543	GSM340543
GSM340544	GSM340544	GSM340544
GSM340545	GSM340545	GSM340545
GSM340546	GSM340546	GSM340546
GSM340547	GSM340547	GSM340547
GSM340548	GSM340548	GSM340548
GSM340549	GSM340549	GSM340549
GSM340550	GSM340550	GSM340550
GSM340551	GSM340551	GSM340551
GSM340552	GSM340552	GSM340552
GSM340553	GSM340553	GSM340553
GSM340554	GSM340554	GSM340554
GSM340555	GSM340555	GSM340555
GSM340556	GSM340556	GSM340556
GSM340557	GSM340557	GSM340557
GSM340558	GSM340558	GSM340558
GSM340559	GSM340559	GSM340559
GSM340560	GSM340560	GSM340560
GSM340561	GSM340561	GSM340561
GSM340562	GSM340562	GSM340562
GSM340563	GSM340563	GSM340563
GSM340564	GSM340564	GSM340564
GSM340565	GSM340565	GSM340565
GSM340566	GSM340566	GSM340566
GSM340567	GSM340567	GSM340567
GSM340568	GSM340568	GSM340568
GSM340569	GSM340569	GSM340569
GSM340570	GSM340570	GSM340570
GSM340571	GSM340571	GSM340571
GSM340572	GSM340572	GSM340572
GSM340573	GSM340573	GSM340573
GSM340574	GSM340574	GSM340574
GSM340575	GSM340575	GSM340575
GSM340576	GSM340576	GSM340576
GSM340577	GSM340577	GSM340577
GSM340578	GSM340578	GSM340578
GSM340579	GSM340579	GSM340579
GSM340580	GSM340580	GSM340580
GSM340581	GSM340581	GSM340581
GSM340582	GSM340582	GSM340582
GSM340583	GSM340583	GSM340583
GSM340584	GSM340584	GSM340584
GSM340585	GSM340585	GSM340585
GSM340586	GSM340586	GSM340586
GSM340587	GSM340587	GSM340587
GSM340588	GSM340588	GSM340588
GSM340589	GSM340589	GSM340589
GSM340590	GSM340590	GSM340590
GSM340591	GSM340591	GSM340591
GSM340592	GSM340592	GSM340592
GSM340593	GSM340593	GSM340593
GSM340594	GSM340594	GSM340594
GSM340595	GSM340595	GSM340595
GSM340596	GSM340596	GSM340596
GSM340597	GSM340597	GSM340597
GSM340598	GSM340598	GSM340598
GSM340599	GSM340599	GSM340599
GSM340600	GSM340600	GSM340600
GSM340601	GSM340601	GSM340601
GSM340602	GSM340602	GSM340602
GSM340603	GSM340603	GSM340603
GSM340604	GSM340604	GSM340604
GSM340605	GSM340605	GSM340605
GSM340606	GSM340606	GSM340606
GSM340607	GSM340607	GSM340607
GSM340608	GSM340608	GSM340608
GSM340609	GSM340609	GSM340609
GSM340610	GSM340610	GSM340610
GSM340611	GSM340611	GSM340611
GSM340612	GSM340612	GSM340612
GSM340613	GSM340613	GSM340613
GSM340614	GSM340614	GSM340614
GSM340615	GSM340615	GSM340615
GSM340616	GSM340616	GSM340616
GSM340617	GSM340617	GSM340617
GSM340618	GSM340618	GSM340618
GSM340619	GSM340619	GSM340619
GSM340620	GSM340620	GSM340620
GSM340621	GSM340621	GSM340621
GSM340622	GSM340622	GSM340622
GSM340623	GSM340623	GSM340623
GSM340624	GSM340624	GSM340624
GSM340625	GSM340625	GSM340625
GSM340626	GSM340626	GSM340626
GSM340627	GSM340627	GSM340627
GSM340628	GSM340628	GSM340628
GSM340629	GSM340629	GSM340629
GSM340630	GSM340630	GSM340630
GSM340631	GSM340631	GSM340631
GSM340632	GSM340632	GSM340632
GSM340633	GSM340633	GSM340633
GSM340634	GSM340634	GSM340634
GSM340635	GSM340635	GSM340635
GSM340636	GSM340636	GSM340636
GSM340637	GSM340637	GSM340637
GSM340638	GSM340638	GSM340638
GSM340639	GSM340639	GSM340639
GSM340640	GSM340640	GSM340640
GSM340641	GSM340641	GSM340641
GSM340642	GSM340642	GSM340642
GSM340643	GSM340643	GSM340643
GSM340644	GSM340644	GSM340644
GSM340645	GSM340645	GSM340645
GSM340646	GSM340646	GSM340646
GSM340647	GSM340647	GSM340647
GSM340648	GSM340648	GSM340648
GSM340649	GSM340649	GSM340649
GSM340650	GSM340650	GSM340650
GSM340651	GSM340651	GSM340651
GSM340652	GSM340652	GSM340652
GSM340653	GSM340653	GSM340653
GSM340654	GSM340654	GSM340654
GSM340655	GSM340655	GSM340655
GSM340656	GSM340656	GSM340656
GSM340657	GSM340657	GSM340657
GSM340658	GSM340658	GSM340658
GSM340659	GSM340659	GSM340659
GSM340660	GSM340660	GSM340660
GSM340661	GSM340661	GSM340661
GSM340662	GSM340662	GSM340662
GSM340663	GSM340663	GSM340663
GSM340664	GSM340664	GSM340664
GSM340665	GSM340665	GSM340665
GSM340666	GSM340666	GSM340666
GSM340667	GSM340667	GSM340667
GSM340668	GSM340668	GSM340668
GSM340669	GSM340669	GSM340669
GSM340670	GSM340670	GSM340670
GSM340671	GSM340671	GSM340671
GSM340672	GSM340672	GSM340672
GSM340673	GSM340673	GSM340673
GSM340674	GSM340674	GSM340674
GSM340675	GSM340675	GSM340675
GSM340676	GSM340676	GSM340676
GSM340677	GSM340677	GSM340677
GSM340678	GSM340678	GSM340678
GSM340679	GSM340679	GSM340679
GSM340680	GSM340680	GSM340680
GSM340681	GSM340681	GSM340681
GSM340682	GSM340682	GSM340682
GSM340683	GSM340683	GSM340683
GSM340684	GSM340684	GSM340684
GSM340685	GSM340685	GSM340685
GSM340686	GSM340686	GSM340686
GSM340687	GSM340687	GSM340687
GSM340688	GSM340688	GSM340688
GSM340689	GSM340689	GSM340689
GSM340690	GSM340690	GSM340690
GSM340691	GSM340691	GSM340691
GSM340692	GSM340692	GSM340692
GSM340693	GSM340693	GSM340693
GSM340694	GSM340694	GSM340694
GSM340695	GSM340695	GSM340695
GSM340696	GSM340696	GSM340696
GSM340697	GSM340697	GSM340697
GSM340698	GSM340698	GSM340698
GSM340699	GSM340699	GSM340699
GSM340700	GSM340700	GSM340700
GSM340701	GSM340701	GSM340701
GSM340702	GSM340702	GSM340702
GSM340703	GSM340703	GSM340703
GSM340704	GSM340704	GSM340704
GSM340705	GSM340705	GSM340705
GSM340706	GSM340706	GSM340706
GSM340707	GSM340707	GSM340707
GSM340708	GSM340708	GSM340708
GSM340709	GSM340709	GSM340709
GSM340710	GSM340710	GSM340710
GSM340711	GSM340711	GSM340711
GSM340712	GSM340712	GSM340712
GSM340713	GSM340713	GSM340713
GSM340714	GSM340714	GSM340714
GSM340715	GSM340715	GSM340715
GSM340716	GSM340716	GSM340716
GSM340717	GSM340717	GSM340717
GSM340718	GSM340718	GSM340718
GSM340719	GSM340719	GSM340719
GSM340720	GSM340720	GSM340720
GSM340721	GSM340721	GSM340721
GSM340722	GSM340722	GSM340722
GSM340723	GSM340723	GSM340723
GSM340724	GSM340724	GSM340724
GSM340725	GSM340725	GSM340725
GSM340726	GSM340726	GSM340726
GSM340727	GSM340727	GSM340727
GSM340728	GSM340728	GSM340728
GSM340729	GSM340729	GSM340729
GSM340730	GSM340730	GSM340730
GSM340731	GSM340731	GSM340731
GSM340732	GSM340732	GSM340732
GSM340733	GSM340733	GSM340733
GSM340734	GSM340734	GSM340734
GSM340735	GSM340735	GSM340735
GSM340736	GSM340736	GSM340736
GSM340737	GSM340737	GSM340737
GSM340738	GSM340738	GSM340738
GSM340739	GSM340739	GSM340739
GSM340740	GSM340740	GSM340740
GSM340741	GSM340741	GSM340741
GSM340742	GSM340742	GSM340742
GSM340743	GSM340743	GSM340743
GSM340744	GSM340744	GSM340744
GSM340745	GSM340745	GSM340745
GSM340746	GSM340746	GSM340746
GSM340747	GSM340747	GSM340747
GSM340748	GSM340748	GSM340748
GSM340749	GSM340749	GSM340749
GSM340750	GSM340750	GSM340750
GSM340751	GSM340751	GSM340751
GSM340752	GSM340752	GSM340752
GSM340753	GSM340753	GSM340753
GSM340754	GSM340754	GSM340754
GSM340755	GSM340755	GSM340755
GSM340756	GSM340756	GSM340756
GSM340757	GSM340757	GSM340757
GSM340758	GSM340758	GSM340758
GSM340759	GSM340759	GSM340759
GSM340760	GSM340760	GSM340760
GSM340761	GSM340761	GSM340761
GSM340762	GSM340762	GSM340762
GSM340763	GSM340763	GSM340763
GSM340764	GSM340764	GSM340764
GSM340765	GSM340765	GSM340765
GSM340766	GSM340766	GSM340766
GSM340767	GSM340767	GSM340767
GSM340768	GSM340768	GSM340768
GSM340769	GSM340769	GSM340769
GSM340770	GSM340770	GSM340770
GSM340771	GSM340771	GSM340771
GSM340772	GSM340772	GSM340772
GSM340773	GSM340773	GSM340773
GSM340774	GSM340774	GSM340774
GSM340775	GSM340775	GSM340775
GSM340776	GSM340776	GSM340776
GSM340777	GSM340777	GSM340777
GSM340778	GSM340778	GSM340778
GSM340779	GSM340779	GSM340779
GSM340780	GSM340780	GSM340780
GSM340781	GSM340781	GSM340781
GSM340782	GSM340782	GSM340782
GSM340783	GSM340783	GSM340783
GSM340784	GSM340784	GSM340784
GSM340785	GSM340785	GSM340785
GSM340786	GSM340786	GSM340786
GSM340787	GSM340787	GSM340787
GSM340788	GSM340788	GSM340788
GSM340789	GSM340789	GSM340789
GSM340790	GSM340790	GSM340790
GSM340791	GSM340791	GSM340791
GSM340792	GSM340792	GSM340792
